id;at;content;opinion;post_id;account_id
2;1986-08-29T01:59:15.793182;Spring deal material.;NEUTRAL;68;90
3;2007-05-12T02:44:01.082783;Walk certain clearly organization course.;DEFAULT;31;43
4;1993-10-13T13:42:56.948254;Determine single fast probably next.;DEFAULT;61;5
5;1983-01-09T03:06:59.402391;Save so participant operation different.;NEUTRAL;52;40
6;1990-04-06T00:11:50.550241;Support star remember certainly right.;OPPOSED;63;65
7;1988-06-23T13:33:18.939618;American you direction avoid blood away the.;DEFAULT;66;41
8;2018-02-02T04:03:48.151765;Daughter campaign at same reach rich.;OPPOSED;42;76
9;1992-03-23T06:15:11.587713;Road why popular election hair live.;NEUTRAL;62;76
10;1981-06-03T19:39:40.973454;Think guess manage partner could something seek.;OPPOSED;35;19
11;2000-09-18T19:24:35.362316;Gas get like never never.;DEFAULT;35;55
12;1987-01-20T04:30:15.807983;Stuff quickly put hospital push can learn sister.;OPPOSED;74;96
13;1981-05-13T11:32:50.363432;Two recent network southern turn those tree.;DEFAULT;52;23
14;2022-04-06T21:47:12.373260;Treat yes series add pay society at.;DEFAULT;94;4
15;1982-11-20T04:13:42.411955;Democratic event identify white up range production certain.;NEUTRAL;69;90
16;1972-06-01T15:53:15.937910;Exactly computer main community.;SUPPORT;50;59
17;2020-08-26T15:08:35.157874;Individual international career see though practice.;OPPOSED;50;95
18;2005-12-30T00:33:09.510212;Order economy world politics.;DEFAULT;34;22
19;1978-10-22T16:50:45.575512;Example under too artist yard.;DEFAULT;96;63
20;2001-11-09T18:22:59.941590;Manager push quite everything.;OPPOSED;13;92
21;2022-07-13T11:45:09.589303;Threat campaign and activity.;DEFAULT;51;28
22;1983-04-13T06:01:04.399976;Perform however decide wish.;DEFAULT;26;77
23;2003-01-01T18:57:04.042192;Require lot arrive.;OPPOSED;25;83
24;2004-08-08T20:52:38.784384;Ahead attorney approach it lay.;NEUTRAL;72;45
25;1981-02-26T10:57:20.824670;Include I there should.;OPPOSED;1;24
26;1995-07-27T09:04:06.041569;Industry rule will.;OPPOSED;97;98
27;2002-03-16T12:25:20.002238;Several ball professional.;NEUTRAL;24;58
28;1986-05-16T14:26:02.778448;Fact garden hundred.;NEUTRAL;96;95
29;2009-02-26T12:17:21.830840;Realize you blue health.;DEFAULT;7;16
30;1989-07-21T10:31:40.932880;Your minute consumer need affect allow.;SUPPORT;97;59
31;2024-01-03T21:24:15.333530;Whom next control nor cultural young hair.;DEFAULT;30;81
