id;at;content;keywords;status;visibility;account_id
1;1997-08-28T19:08:13.157464;Prevent thing get manager during. Bed let traditional.\nMust choice certain outside coach talk. Question result push deal cup. There agreement young from before job describe.;career, character, as, customer, model;VALIDATED;PRIVATE;60
2;2017-09-07T10:29:22.918807;Its place upon contain conference visit. Doctor red wall house surface amount.\nManager into low reduce structure pretty.\nNatural environmental describe book civil.;company, chance, let, account, pretty;PENDING;PRIVATE;27
3;2025-05-25T11:51:39.844248;Minute gas can. Group senior fall central. Ask win once stock protect ready ever.\nVery mean would let fear use other. Development lose care there center some.;there, plan, serve, happen, imagine;VALIDATED;PUBLIC;26
4;2009-07-11T14:31:42.193197;Capital hour first. Camera energy upon have least newspaper degree. She child final those from professor. Foot pass anyone audience radio fill card once.;total, start, allow, both, suggest;PENDING;PRIVATE;33
5;1977-01-24T22:31:10.520900;Else type sort within attack environmental professor. Form alone we I you change. Senior look without science organization nor.;term, thus, score, Congress, easy;VALIDATED;PUBLIC;31
6;2021-03-03T19:24:20.245066;First new area heavy worry wait. Evening new important position someone. Rule PM fly go.\nOne away middle star read really. Ten decide throughout kitchen risk house though.;hold, would, and, seem, short;SUSPENDED;PUBLIC;53
7;1981-05-30T06:20:48.048143;North certainly information choice fine spend. Example part three pay nation growth general. Discuss special gas small yard feel wind. Others truth mean threat debate.;share, near, really, goal, different;VALIDATED;PUBLIC;83
8;2025-03-11T09:34:41.437818;Ahead help find single perhaps would world. Staff them for current when.\nYeah everyone news amount rock friend. New close successful group.\nChoice talk seven respond hotel. Join box billion yard.;economic, happen, five, discuss, alone;VALIDATED;PUBLIC;51
9;1980-10-25T15:12:57.136111;Wait deal perhaps girl company woman political. Director deep four both town page. Boy part international high a wear wish.\nMedia admit little. Cold save more since sell article entire identify.;analysis, evidence, recent, seem, name;VALIDATED;PUBLIC;56
10;2006-03-07T08:35:14.668393;Country mention within magazine. Along room environmental best century partner.\nParty detail night daughter month receive offer candidate.\nMaybe new both various.;magazine, easy, top, both, seek;DELETING;PUBLIC;70
11;2022-09-30T23:33:27.654905;Executive have small successful. If treat gun son activity.\nEvidence standard fund director north say argue.;final, size, sense, appear, main;PENDING;PRIVATE;68
12;2024-07-29T11:43:34.924963;Anyone but car since. Chair serious sport. Section never make indeed particular.\nFinal population major our perform moment personal option. Modern able deal. Rock enter true only star majority.;she, democratic, wrong, along, industry;VALIDATED;PUBLIC;74
